Fist Last Nickname HT WT Reach Stance W L D Belt
Gesias Cavalcante JZ 68 155  71.0 Orthodox 16 5 1 NA
Rafael Feijao Feijao 73 205  73.0 Orthodox 12 7 0 NA
Magnus Cedenblad Jycken 77 185  79.0 Orthodox 14 5 0 NA
Yosdenis Cedeno Pink_Panther 68 155  69.0 Orthodox 10 5 0 NA
Henry Cejudo The_Messenger 64 125  64.0 Orthodox 10 1 0 NA
Adam Cella El_Naturel 74 170  78.0 NA 4 2 0 NA
Donald Cerrone Cowboy 73 170  73.0 Orthodox 32 7 0 NA
Jared Chaffee NA 70 155  NA NA 5 1 0 NA
Luan Chagas Tarzan 72 170  75.0 Orthodox 14 2 1 NA
Ansar Chalangov NA 69 170  NA Orthodox 14 4 0 NA
Alex Chambers Astro_Girl 63 115  63.0 NA 5 3 0 NA
Mike Chandler NA 68 155  NA NA 9 3 0 NA
Donnie Chappell NA 71 178  NA Southpaw 0 1 0 NA
Joe Charles The_Ghetto_Man 73 260  NA Southpaw 6 13 0 NA
Dan Charles The_Man 74 228  NA NA 10 3 0 NA
Ernest Chavez The_Mad_Titan 68 145  70.0 Orthodox 8 2 0 NA
Emilio Chavez NA 69 145  NA NA 8 5 0 NA
Albert Cheng NA 71 170  NA Orthodox 2 4 0 NA
Ion Cherdivara NA NA 205  NA NA 1 1 0 NA
Michael Chiesa Maverick 73 155  75.0 Southpaw 14 2 0 NA
Sako Chivitchian NA 71 155  NA NA 5 1 0 NA
