Fist Last Nickname HT WT Reach Stance W L D Belt
Masanori Kanehara NA 67 135  67.0 Orthodox 25 13 5 NA
Ken Kaneko NA 72 161  NA Orthodox 0 3 0 NA
Denis Kang NA 71 185  77.0 Orthodox 34 15 2 NA
Kyung Ho Kang Mr._Perfect 69 135  72.0 Orthodox 13 7 0 NA
David Kaplan Diamond 67 155  NA Orthodox 3 4 0 NA
Georgi Karakhanyan Insane 68 145  NA NA 24 4 1 NA
Alex Karalexis The_Assassin 68 155  66.0 Orthodox 10 6 0 NA
Yusuke Kasuya NA 67 155  67.0 Southpaw 9 3 2 NA
Tetsuji Kato NA NA 155  NA Orthodox 20 10 0 NA
Hisaki Kato NA 72 185  NA NA 5 2 0 NA
Sarah Kaufman NA 65 135  67.0 Orthodox 17 4 0 NA
Yusuke Kawaguchi NA 72 255  NA NA 13 4 0 NA
Tatsuya Kawajiri The_Crusher 67 145  69.0 Orthodox 35 10 2 NA
Ryo Kawamura NA 71 205  NA Orthodox 12 6 4 NA
Doug Kay NA NA NA NA NA 0 0 0 NA
Julie Kedzie NA 65 135  64.0 Orthodox 16 13 0 NA
Ryan Keenan NA 70 170  NA NA 4 2 0 NA
CJ Keith NA 72 155  NA Orthodox 8 2 0 NA
Chris Kelades The_Greek_Assassin 67 125  68.0 Orthodox 9 3 0 NA
Paul Kelly NA 69 155  70.0 Orthodox 12 4 0 NA
John Kelly NA 69 170  NA NA 5 4 0 NA
Daniel Kelly NA 72 185  70.0 Southpaw 12 1 0 NA
Tim Kennedy NA 71 185  74.0 Orthodox 18 6 0 NA
Steve Kennedy The_Steamrolla 71 170  71.0 Orthodox 22 8 0 NA
Jeremy Kennedy JBC 71 145  71.0 Orthodox 9 0 0 NA
Waylon Kennell NA 72 185  NA NA 4 2 0 NA
Aurelijus Kerpe NA NA NA NA Orthodox 11 16 0 NA
Mark Kerr The_Smashing_Machine 75 266  NA Switch 15 11 0 NA
Will Kerr NA 70 155  69.0 Orthodox 9 3 0 NA
Ron Keslar NA NA 185  NA NA 7 3 0 NA
Rustam Khabilov Tiger 68 155  73.0 Orthodox 21 3 0 NA
Adam Khaliev NA 72 170  NA Orthodox 6 0 0 NA
Sergei Kharitonov NA 72 245  NA Orthodox 18 5 0 NA
Akira Kikuchi NA 68 155  NA Orthodox 16 4 0 NA
Katsunori Kikuno NA 68 145  66.0 Orthodox 23 8 2 NA
Sanae Kikuta NA 69 200  NA Orthodox 30 7 3 NA
Dong Hyun Kim Stun_Gun 74 170  76.0 Southpaw 21 3 1 NA
Jin Oh Kim NA 69 205  NA Orthodox 0 3 0 NA
Dae Won Kim NA 71 180  NA Orthodox 11 6 0 NA
Jong Wang Kim NA 73 240  NA NA 11 21 0 NA
Jong Won Kim NA 67 139  NA Orthodox 0 1 0 NA
Min Soo Kim NA 73 255  NA Southpaw 3 7 0 NA
Jong Man Kim Special_Force 67 139  NA Orthodox 22 11 3 NA
Dong Hyun Kim Maestro 71 155  70.0 Orthodox 14 8 3 NA
Rob Kimmons The_Rosedale_Reaper 70 185  73.0 Orthodox 24 8 0 NA
Dustin Kimura The_Diamond 67 135  71.0 Orthodox 12 3 0 NA
Taiei Kin NA 71 185  NA Orthodox 4 3 0 NA
Mike King NA 75 185  75.0 NA 5 1 0 NA
Kyle Kingsbury Kingsbu 76 205  76.0 Orthodox 11 6 0 NA
Yurij Kiseliov Playboy 68 185  NA Orthodox 0 3 0 NA
Justine Kish NA 65 115  64.0 Orthodox 6 0 0 NA
Koji Kitao NA 79 350  NA Southpaw 1 2 0 NA
Mitsuharu Kitao NA 79 390  NA NA 1 2 0 NA
Satoru Kitaoka NA 66 154  NA NA 29 11 9 NA
Seth Kleinbeck Mass_Destruction 74 185  NA NA 8 4 0 NA
Stefan Klever NA NA 185  NA Orthodox 6 1 0 NA
Michael Knaap Hammer 74 220  NA Orthodox 18 20 3 NA
Kevin Knabjian NA 70 170  NA Orthodox 10 6 1 NA
Jason Knight The_Kid 70 145  71.0 Orthodox 18 2 0 NA
Isao Kobayashi NA 68 145  NA NA 18 3 4 NA
Kelly Kobold Blood_Red 66 135  NA Orthodox 17 3 1 NA
Erik Koch New_Breed 70 155  70.0 Southpaw 15 4 0 NA
Sokun Koh NA 73 205  NA NA 4 1 0 NA
Shingo Kohara NA 66 135  NA NA 1 0 0 NA
Brad Kohler NA 69 220  NA Orthodox 11 14 0 NA
Charlie Kohler NA 69 155  NA Orthodox 8 4 1 NA
Tsuyoshi Kohsaka TK 71 225  NA Orthodox 26 18 2 NA
John Kolosci NA 71 185  NA Orthodox 15 8 0 NA
Yuki Kondo NA 71 183  NA Southpaw 53 26 8 NA
Cheick Kongo NA 76 240  82.0 Orthodox 29 9 2 NA
Andrei Kopylov NA 74 265  NA Orthodox 5 10 0 NA
Andrey Koreshkov Spartan 72 170  NA NA 18 1 0 NA
Josh Koscheck NA 70 170  73.0 Orthodox 19 10 0 NA
Naoyuki Kotani NA 68 155  66.0 Southpaw 33 13 7 NA
Ilya Kotau NA NA 170  NA NA 1 1 0 NA
Iouri Kotchkine NA 74 235  NA Orthodox 7 4 1 NA
Matt Kovacs 300 72 244  NA Orthodox 6 7 0 NA
Marcus Kowal NA NA 135  NA NA 3 1 1 NA
Karolina Kowalkiewicz NA 63 115  65.0 Orthodox 10 1 0 NA
Steve Kozola NA NA 155  NA NA 6 0 0 NA
James Krause The 74 155  73.0 Orthodox 23 7 0 NA
Pascal Krauss Panzer 73 170  72.0 Orthodox 11 2 0 NA
Rene Kronvold NA 68 170  NA Orthodox 5 1 0 NA
Jorgen Kruth The_Last_Viking 74 205  NA NA 5 0 0 NA
Nikita Krylov The_Miner 75 205  77.0 Orthodox 21 5 0 NA
Junya Kudo NA NA 135  NA Orthodox 8 4 2 NA
John Kuhner NA NA 170  NA NA 1 2 0 NA
Michael Kuiper NA 72 185  73.0 Orthodox 12 3 0 NA
Anton Kuivanen NA 68 155  72.0 Orthodox 17 6 0 NA
Maiju Kujala NA NA 135  NA NA 6 3 0 NA
Keigo Kunihara NA 72 235  NA Orthodox 3 2 0 NA
Kiichi Kunimoto Strasser 70 170  71.0 Orthodox 18 6 2 NA
Leo Kuntz The_Lion 70 155  74.0 Orthodox 17 3 1 NA
Tsuyoshi Kurihara NA 70 185  NA Orthodox 6 7 2 NA
Eldari Kurtanidze NA 66 235  NA Orthodox 0 1 0 NA
Kyle Kurtz NA NA 170  NA NA 5 0 0 NA
Lina Kvokov NA 69 135  NA Orthodox 0 3 0 NA
Kaleo Kwan Leo_Boy 67 155  NA NA 10 13 0 NA
Mike Kyle MAK 76 205  77.0 Orthodox 19 9 1 NA
NA NA NA NA NA NA NA NA NA NA NA
Achmed Labasanov NA 75 215  NA Orthodox 8 5 0 NA
Josh LaBerge NA 70 145  NA NA 8 5 0 NA
Jeremiah Labiano The_Kid 70 135  NA NA 9 3 0 NA
Kemran Lachinov NA NA 170  NA NA 2 1 0 NA
Ryan LaFlare NA 73 170  74.0 Southpaw 12 1 0 NA
Ben Lagman Bad_News 74 185  NA NA 6 2 0 NA
Noad Lahat Neo 69 145  69.0 Orthodox 9 2 0 NA
Tina Lahdemaki Jelly_Bean 62 115  62.0 Orthodox 5 1 0 NA
Tim Lajcik The_Bohemian 73 225  NA Orthodox 7 6 1 NA
Todd Lally NA 67 145  NA Orthodox 2 1 0 NA
Ricardo Lamas The_Bully 68 145  71.0 Orthodox 17 5 0 NA
Jason Lambert The_Punisher 75 185  75.0 Orthodox 25 12 0 NA
Jose Landi-Jons Pele 71 170  NA Orthodox 27 14 0 NA
Aaron Lanfranco NA NA 155  NA NA 5 1 0 NA
Jeremy Lang NA 71 205  NA Southpaw 21 2 0 NA
Lionel Lanham NA NA 205  NA NA 3 1 0 NA
Lina Lansberg Elbow_Queen 67 140  65.0 Orthodox 6 2 0 NA
Taylor Lapilus Double_Impact 66 135  73.0 Southpaw 11 2 0 NA
Chad Laprise The_Disciple 70 155  71.0 NA 12 2 0 NA
Anthony Lapsley The_Recipe 69 170  71.0 Southpaw 25 7 0 NA
Icho Larenas NA 75 235  NA Orthodox 5 4 0 NA
Lorenz Larkin The_Monsoon 71 170  72.0 Orthodox 18 5 0 NA
Jeremy Larsen NA 70 145  70.0 Orthodox 8 5 0 NA
Brock Larson NA 71 170  71.0 Southpaw 33 6 0 NA
Ryan Larson NA NA 170  NA NA 6 2 0 NA
Bobby Lashley NA 75 255  78.0 Orthodox 7 1 0 NA
Ilir Latifi The_Sledgehammer 70 205  73.0 Orthodox 13 5 0 NA
Sione Latu NA 72 215  NA NA 1 0 0 NA
Jenel Lausa The_Demolition_Man 65 125  68.0 Orthodox 7 2 0 NA
Joe Lauzon J-Lau 70 155  71.0 Orthodox 26 13 0 NA
Dan Lauzon The_Upgrade 70 155  NA Orthodox 15 4 0 NA
Chatt Lavender NA 68 170  NA NA 9 7 0 NA
Muhammed Lawal King_Mo 72 205  78.0 Southpaw 9 1 0 NA
Robbie Lawler Ruthless 71 170  74.0 Southpaw 27 11 0 NA
Tom Lawlor Filthy 72 205  74.0 Southpaw 10 6 0 NA
Justin Lawrence The_American_Kidd 68 145  67.0 Orthodox 5 2 0 NA
Eric Lawson NA 72 185  NA Orthodox 9 4 0 NA
Valmir Lazaro Bidu 72 155  73.0 Orthodox 13 4 0 NA
Cung Le NA 69 185  69.0 Southpaw 9 3 0 NA
Jerome LeBanner NA 75 265  NA Southpaw 3 2 0 NA
Chris Leben The_Crippler 71 185  74.0 Southpaw 22 11 0 NA
Mickael Lebout Ragnar 71 155  73.0 Orthodox 14 5 1 NA
Stephen Ledbetter NA 69 145  NA Orthodox 8 3 0 NA
Justin Ledet El_Blanco 76 240  80.0 Orthodox 8 0 0 NA
James Lee NA 71 205  NA Southpaw 14 3 0 NA
David Lee NA 70 155  NA Orthodox 9 7 0 NA
Jackie Lee NA NA NA NA NA 0 1 0 NA
Eun Soo Lee NA 73 215  NA Orthodox 15 3 0 NA
Tae Hyun Lee NA 78 295  NA Orthodox 1 2 0 NA
Tommy Lee NA 67 145  NA Orthodox 25 6 0 NA
Matt Lee NA 71 155  NA Orthodox 13 10 1 NA
Imani Lee NA NA NA NA Orthodox 2 3 0 NA
Vaughan Lee NA 66 125  66.0 Orthodox 14 11 1 NA
Kevin Lee The_Motown_Phenom 69 155  77.0 Orthodox 14 2 0 NA
Rocky Lee NA 69 145  68.0 Orthodox 3 2 0 NA
Ricky Legere Jr. IE_Bad_Boy 68 170  NA NA 14 4 0 NA
Sherron Leggett Rob_Roy 68 155  NA Southpaw 21 6 0 NA
Thales Leites NA 73 185  78.0 Orthodox 26 7 0 NA
Stefan Leko Blitz 74 215  NA Orthodox 0 3 0 NA
Gabe Lemley NA 68 155  NA Orthodox 13 9 0 NA
Christophe Leninger NA 72 200  NA Southpaw 3 4 0 NA
Jesse Lennox The_Ox 69 170  72.0 Orthodox 15 3 0 NA
Jean Francois Lenogue NA 72 185  NA Orthodox 15 14 3 NA
Nik Lentz The_Carny 68 155  68.0 Orthodox 29 7 2 NA
Alberta Cerra Leon NA 68 238  NA NA 0 1 0 NA
Anthony Leone NA 66 135  NA Orthodox 9 5 0 NA
Chad Leonhardt The_Boss 72 170  NA NA 8 3 0 NA
Kimo Leopoldo NA 75 235  NA Orthodox 10 7 1 NA
Michael Lerma NA NA NA NA NA 0 1 0 NA
Lukasz Les NA NA 170  NA NA 7 3 0 NA
Brock Lesnar NA 75 265  81.0 Orthodox 5 3 0 NA
Frank Lester NA 71 170  NA Orthodox 6 6 0 NA
Valerie Letourneau Trouble 67 115  68.0 Orthodox 8 6 0 NA
Justin Levens The_Executioner 71 185  NA Orthodox 9 8 0 NA
Marcus LeVesseur The_Prospect 69 155  70.0 Southpaw 22 7 0 NA
David Levicki NA 77 275  NA NA 1 3 0 NA
Kyle Levinton NA NA NA NA NA 0 3 0 NA
John Lewis NA 72 155  NA Southpaw 3 4 3 NA
Derrick Lewis The_Black_Beast 75 260  79.0 Orthodox 17 4 0 NA
Jess Liaudin The_Joker 69 170  72.0 Orthodox 19 11 0 NA
Chuck Liddell The_Iceman 74 205  76.0 Orthodox 21 8 0 NA
Sam Liera NA NA NA NA NA 4 3 0 NA
Zach Light NA 68 170  NA Orthodox 8 11 0 NA
Scott Lighty NA 74 205  NA NA 6 2 0 NA
Chris Liguori NA 69 185  NA Orthodox 13 9 0 NA
Donnie Liles NA 69 170  NA Orthodox 13 5 0 NA
Jae Suk Lim NA 69 170  NA Orthodox 15 5 0 NA
Hyun Gyu Lim The_Ace 75 170  77.0 Orthodox 13 6 1 NA
Juliana Lima Ju_Thai 65 115  65.0 Orthodox 9 3 0 NA
Dhiego Lima NA 74 170  75.0 Orthodox 11 4 0 NA
Douglas Lima The_Phenom 73 170  NA NA 26 6 0 NA
Miguel Linares NA NA NA NA NA 2 4 0 NA
Matt Lindland The_Law 72 185  74.0 Southpaw 22 9 0 NA
Jake Lindsey The_Librarian 71 155  71.0 Switch 9 3 0 NA
John Lineker Hands_of_Stone 63 135  67.0 Orthodox 29 7 0 NA
Lucio Linhares NA 74 185  NA Orthodox 15 7 0 NA
Philipe Lins Monstro 74 205  NA NA 9 1 0 NA
Dean Lister The_Boogeyman 73 185  75.0 Orthodox 11 7 0 NA
Wesley Little NA 76 205  NA NA 4 6 0 NA
Abner Lloveras Skullman 71 155  71.0 NA 19 8 1 NA
Brian Lo-A-Njoe NA 67 155  NA Orthodox 6 9 3 NA
John Lober The_Machine 71 199  NA Orthodox 5 9 4 NA
Artem Lobov The_Russian_Hammer 69 155  65.0 Southpaw 14 12 1 NA
Sean Loeffler The_Destroyer 75 185  NA Orthodox 25 5 0 NA
David Loiseau The_Crow 72 185  76.0 Orthodox 20 10 0 NA
Hector Lombard Lightning 69 185  71.0 Southpaw 34 6 1 NA
Rocky Long NA NA 145  NA NA 19 27 1 NA
Thomas Longacre NA 69 145  NA Orthodox 6 0 0 NA
Lucas Lopes NA 74 185  NA NA 19 13 0 NA
Dileno Lopes NA 65 135  65.0 NA 19 3 0 NA
Ivan Lopez NA 66 135  NA Southpaw 8 1 0 NA
Steve Lopez NA 71 155  NA Orthodox 12 6 1 NA
Federico Lopez Kiko 64 139  NA Orthodox 5 5 0 NA
Jorge Lopez NA 70 170  NA Orthodox 11 3 0 NA
Christopher Lopez NA 70 170  NA NA 4 0 0 NA
Matthew Lopez NA 67 135  69.0 Southpaw 9 1 0 NA
Brendan Loughnane NA 69 155  71.0 NA 5 2 0 NA
Nate Loughran NA 74 185  NA Orthodox 9 1 0 NA
Rashard Lovelace NA NA 155  NA NA 2 0 0 NA
Ian Loveland The_Barn_Owl 68 145  NA Orthodox 14 9 0 NA
Jakob Lovstad The_Striking_Viking 75 205  NA Orthodox 11 4 0 NA
Waylon Lowe NA 67 145  NA Southpaw 11 5 0 NA
Brandon Lowe NA NA 155  NA NA 0 1 0 NA
Robert Lucarelli NA 74 245  NA NA 0 1 0 NA
Matt Lucas Luke_Duke 73 205  NA NA 14 2 0 NA
Cleber Luciano NA 66 155  NA NA 11 5 0 NA
Duane Ludwig Bang 70 170  70.0 Orthodox 29 14 0 NA
Mike Lullo NA 68 145  NA Orthodox 8 3 0 NA
Alexandru Lungu NA 72 385  NA Orthodox 8 2 0 NA
Vicente Luque The_Silent_Assassin 71 170  75.0 NA 11 5 1 NA
Thaddeus Luster NA 75 210  NA NA 0 1 0 NA
Travis Lutter The_Serial_Killer 71 185  75.0 Orthodox 10 6 0 NA
Stevie Lynch NA 70 170  NA Orthodox 5 2 0 NA
Adam Lynn NA 70 155  NA Orthodox 17 8 0 NA
Chris Lytle Lights_Out 71 170  68.0 Orthodox 31 18 5 NA
NA NA NA NA NA NA NA NA NA NA NA
William Patolino Patolino 71 170  75.0 Orthodox 8 3 0 NA
Jason MacDonald The_Athlete 75 185  80.0 Orthodox 26 16 0 NA
Rob MacDonald Maximus 75 205  78.0 Orthodox 5 4 0 NA
Rory MacDonald Red_King 72 170  76.0 Orthodox 18 4 0 NA
Veronica Macedo NA 64 135  64.0 Southpaw 5 1 1 NA
Clayton MacFarlane NA NA 170  NA NA 4 1 0 NA
Ilima Macfarlane NA 64 125  NA NA 3 0 0 NA
Lyoto Machida The_Dragon 73 185  74.0 Southpaw 22 7 0 NA
Jon Koppenhaver War_Machine 71 170  NA Orthodox 11 4 0 NA
Anthony Macias Mad_Dog 69 185  NA Switch 26 16 0 NA
Reza Madadi Mad_Dog 71 155  72.0 Orthodox 14 4 0 NA
Ryan Madigan NA 72 170  NA Orthodox 5 3 0 NA
Jon Madsen NA 72 240  72.0 Orthodox 7 1 0 NA
Yoshiro Maeda NA 67 139  68.0 Southpaw 28 12 2 NA
Leonardo Mafra Macarrao 70 155  70.0 Orthodox 12 3 0 NA
Vinny Magalhaes Pezao 75 205  79.0 Orthodox 11 7 0 NA
Vinicius Magalhaes Draculinho NA 145  NA NA 2 1 0 NA
Caio Magalhaes Hellboy 73 185  73.0 Orthodox 9 3 0 NA
Bernardo Magalhaes Trekko 69 155  65.0 Orthodox 11 3 0 NA
Eric Magana NA NA NA NA NA 1 1 0 NA
Brandon Magana NA NA 170  NA Orthodox 6 2 0 NA
Angela Magana Your_Majesty 61 115  65.0 NA 11 8 0 NA
Neil Magny NA 75 170  80.0 Orthodox 18 6 0 NA
Ibragim Magomedov NA 72 250  NA Orthodox 22 7 1 NA
Rashid Magomedov Goretz 69 155  70.0 Orthodox 19 2 0 NA
Ruslan Magomedov Leopard 75 242  78.0 Orthodox 14 1 0 NA
John Maguire The_One 69 155  69.0 Southpaw 18 6 0 NA
Lolohea Mahe NA NA NA NA NA 5 2 1 NA
Michelle Maher NA NA 145  NA NA 1 2 0 NA
Bill Mahood The_Butcher 75 200  NA Orthodox 20 7 1 NA
Klayton Mai NA 69 125  NA NA 8 1 0 NA
Demian Maia NA 73 170  72.0 Southpaw 24 6 0 NA
Levan Makashvili The_Hornet 68 145  68.0 Orthodox 10 2 1 NA
John Makdessi The_Bull 68 155  68.0 Orthodox 14 6 0 NA
Islam Makhachev NA 70 155  70.0 Orthodox 13 1 0 NA
Aliev Makhmud NA 66 195  NA Southpaw 0 1 0 NA
Zach Makovsky Fun_Size 64 125  64.0 Southpaw 19 8 0 NA
Jeremy Malaterre NA 71 155  NA NA 4 2 0 NA
Fabio Maldonado Caipira_de_Aco 73 205  75.0 Orthodox 22 9 0 NA
Marvin Maldonado The_Bulldog 66 135  NA NA 2 4 0 NA
Nazareno Malegarie El_Tigre 68 155  70.0 NA 28 5 0 NA
Carl Malenko NA 71 200  NA Orthodox 6 4 0 NA
Mike Malott The_Main_Attraction 72 145  NA NA 4 1 1 NA
Troy Mandaloniz Rude_Boy 69 170  NA Orthodox 3 2 0 NA
Michael Mangan NA NA 155  NA NA 0 3 0 NA
Melvin Manhoef Marvelous 69 185  NA Orthodox 25 9 1 NA
Melchor Manibusan Barracuda 65 154  NA Southpaw 2 4 0 NA
Jon Manley NA 73 170  75.0 Orthodox 7 3 0 NA
Steve Mann NA 73 170  NA NA 10 3 0 NA
Chris Manuel NA 69 135  NA Orthodox 8 3 2 NA
Jimi Manuwa Poster_Boy 73 205  79.0 Orthodox 16 2 0 NA
Cristiano Marcello NA 69 155  72.0 Orthodox 13 6 0 NA
Jose Maria No_Chance 65 125  NA Orthodox 33 5 0 NA
Enrique Marin Wasabi 70 170  74.0 NA 9 4 0 NA
Ronny Markes NA 73 185  75.0 Orthodox 14 3 0 NA
Rory Markham NA 72 170  71.0 Orthodox 16 6 0 NA
Randa Markos Quiet_Storm 64 115  63.0 NA 6 5 0 NA
Nate Marquardt The_Great 72 185  74.0 Orthodox 38 16 2 NA
Carmelo Marrero The_Fury 72 205  73.0 Orthodox 14 5 0 NA
Cesar Marscucci NA NA NA NA NA 2 2 0 NA
John Marsh NA 72 265  NA Orthodox 8 7 0 NA
CJ Marsh NA NA NA NA NA 3 1 0 NA
Eliot Marshall Fire 74 205  77.0 Orthodox 10 4 0 NA
Doug Marshall The_Rhino 70 205  NA Orthodox 13 5 0 NA
David Marshall NA 74 170  NA NA 8 3 0 NA
Jack Marshman Hammer 72 185  73.0 Orthodox 21 5 0 NA
Terry Martin NA 68 185  71.0 Orthodox 22 9 0 NA
Eric Martin NA NA NA NA NA 0 1 0 NA
Justin Martin NA 72 185  NA NA 4 3 0 NA
Dave Martin NA 72 205  NA NA 0 2 0 NA
Joe Martin NA 69 170  NA NA 6 8 0 NA
Tony Martin NA 72 155  73.0 Orthodox 10 3 0 NA
Rainy Martinez NA 72 199  NA Orthodox 0 2 0 NA
Danny Martinez The_Gremlin 66 125  67.0 Orthodox 18 7 0 NA
Alonzo Martinez Zo_Diddy 70 155  NA NA 35 16 1 NA
Henry Martinez Sicario 67 155  68.0 Southpaw 9 3 0 NA
Wagner da Conceicao Martins Zuluzinho 79 390  NA Orthodox 8 7 0 NA
Adriano Martins NA 70 155  72.0 Southpaw 28 8 0 NA
Lucas Martins Mineiro 72 145  72.0 Southpaw 16 3 0 NA
Max Martyniouk Payne NA 155  NA NA 1 1 0 NA
Bristol Marunde NA 73 170  71.0 Orthodox 12 9 0 NA
Shoji Maruyama NA 67 139  NA Orthodox 10 7 1 NA
Mike Massenzio The_Master_of_Disaster 74 185  73.0 Southpaw 13 6 0 NA
Jameel Massouh NA 70 145  72.0 Orthodox 26 9 0 NA
Jorge Masvidal Gamebred 71 170  74.0 Orthodox 31 11 0 NA
Tateki Matsuda Tech 67 125  65.0 Orthodox 10 7 0 NA
Daijiro Matsui NA 69 200  NA Orthodox 12 24 5 NA
Koichiro Matsumoto NA 67 145  NA NA 15 3 1 NA
Naoki Matsushita NA 66 155  NA Orthodox 12 15 11 NA
AJ Matthews NA 71 185  NA NA 6 1 0 NA
Jake Matthews The_Celtic_Kid 69 155  72.0 Orthodox 11 3 0 NA
Claudio Mattos Popeye NA 185  NA Orthodox 5 4 0 NA
John Matua NA 74 400  NA Orthodox 1 4 0 NA
Francesco Maturi NA NA NA NA NA 0 1 0 NA
Vladimir Matyushenko The_Janitor 72 205  74.0 Orthodox 26 7 0 NA
Elaina Maxwell Beef 68 145  NA Orthodox 6 4 0 NA
Jeremy May NA 73 185  NA NA 9 8 0 NA
Jack May The_Outlaw 80 255  79.0 Switch 7 2 0 NA
Gray Maynard NA 69 145  70.0 Orthodox 13 7 1 NA
Scott McAfee NA 68 155  NA Orthodox 10 4 0 NA
Bobby McAndrews NA NA NA NA Orthodox 1 3 0 NA
Michael McBride NA 73 155  75.0 Orthodox 8 2 0 NA
Ian McCall Uncle_Creepy 65 125  64.0 Orthodox 13 5 1 NA
Charles McCarthy Chainsaw 70 185  71.0 Orthodox 10 5 0 NA
Sean McCorkle NA 79 265  81.0 Orthodox 13 2 0 NA
Kris McCray Savage 72 170  76.0 Orthodox 6 3 0 NA
Tamdan McCrory The_Barncat 76 185  78.0 Switch 14 5 0 NA
Rob McCullough Razor 69 155  69.0 Orthodox 19 8 0 NA
Justin McCully The_Insane_One 73 225  73.0 Orthodox 10 5 2 NA
Bubba McDaniel The_Menace 75 185  75.0 Southpaw 21 8 0 NA
Michael McDonald The_Black_Sniper 71 205  NA Orthodox 1 1 0 NA
Scott McDonald NA NA NA NA NA 1 0 0 NA
Michael McDonald Mayday 69 135  70.0 Orthodox 17 4 0 NA
Josh McDonald NA NA 185  NA NA 8 4 0 NA
Miles McDonald NA 67 115  NA NA 1 1 0 NA
Justin McElfresh NA 78 205  NA Orthodox 6 4 0 NA
Drew McFedries The_Massacre 72 185  72.0 Southpaw 10 6 0 NA
Liam McGeary NA 78 205  NA NA 11 0 0 NA
Gan McGee The_Giant 82 265  NA Orthodox 13 5 0 NA
Court McGee The_Crusher 71 170  75.0 Orthodox 19 5 0 NA
Ryan McGillivray The_Kid 71 170  NA NA 11 5 1 NA
Ryan McGivern NA 72 185  NA Orthodox 13 7 0 NA
Jack McGlaughlin NA NA NA NA Orthodox 1 4 0 NA
Conor McGregor The_Notorious 69 170  74.0 Southpaw 21 3 0 NA
Greg McIntyre NA 70 155  NA Orthodox 6 4 0 NA
Antonio McKee Mandingo 68 155  NA Southpaw 26 5 2 NA
AJ McKee Mercenary 70 145  NA NA 3 0 0 NA
Tim McKenzie NA 72 185  74.0 Orthodox 13 8 0 NA
Cody McKenzie NA 72 155  72.0 Switch 14 4 0 NA
Brian McLaughlin NA 69 155  NA NA 6 2 0 NA
Jason McLean NA 65 145  NA NA 6 4 0 NA
Garreth McLellan Soldier_Boy 73 185  72.0 Southpaw 13 5 0 NA
Sara McMann NA 66 135  66.0 Orthodox 10 3 0 NA
James McSweeney The_Hammer 76 230  77.0 Switch 6 9 0 NA
Charles McTorry NA NA NA NA NA 2 0 0 NA
Daniel McWilliams The_Animal 73 185  NA NA 9 19 0 NA
Tim Means The_Dirty_Bird 74 170  75.0 Orthodox 26 7 1 NA
Yancy Medeiros The_Kid 70 155  75.0 Orthodox 13 4 0 NA
Anistavio Medeiros Gasparzinho 66 145  NA Orthodox 15 8 0 NA
Kaline Medeiros The_Dark_Angel 63 115  NA NA 5 4 0 NA
Todd Medina El_Tiburon 70 193  NA Southpaw 11 9 0 NA
Jason Medina NA 69 180  NA NA 21 13 1 NA
Gerald Meerschaert GM3 73 185  77.0 Southpaw 25 8 0 NA
Frank Megallon NA 70 185  NA Southpaw 2 3 0 NA
Derrick Mehmen Caveman 76 205  NA NA 12 4 0 NA
Miika Mehmet NA NA 205  NA Orthodox 3 4 0 NA
Jordan Mein Young_Gun 72 170  73.0 Orthodox 29 11 0 NA
Bryce Mejia NA 73 170  NA NA 3 1 0 NA
Brian Melancon NA 68 170  72.0 Orthodox 7 3 0 NA
Brandon Melendez The_Murderer 71 155  NA Southpaw 26 21 0 NA
Gilbert Melendez El_Nino 69 155  73.0 Orthodox 22 6 0 NA
Marcelo Mello NA 67 170  NA Southpaw 1 0 0 NA
Fabio Mello NA 65 155  NA Southpaw 8 6 0 NA
Antonio Mendes Samurai 75 205  77.0 Southpaw 17 10 0 NA
Chad Mendes Money 66 145  66.0 Orthodox 17 4 0 NA
Augusto Mendes Tanquinho 66 135  65.0 Orthodox 5 1 0 NA
Eddie Mendez NA 70 185  76.0 NA 7 2 1 NA
Luis Mendoza NA NA 155  NA NA 0 1 0 NA
Alonzo Menifield NA 73 205  NA NA 1 0 0 NA
Ivan Menjivar The_Pride_of_El_Salvador 66 145  64.0 Orthodox 25 12 0 NA
Dave Menne The_Warrior 70 170  NA Orthodox 44 16 2 NA
Steve Mensing The_Machine 71 185  NA Orthodox 7 11 2 NA
Buck Meredith NA 74 185  NA NA 3 3 0 NA
Adam Meredith NA 74 170  NA NA 3 1 0 NA
Joe Merritt Joey_Slash 72 170  73.0 Orthodox 6 1 0 NA
Jeremiah Metcalf NA 73 185  NA Orthodox 13 7 0 NA
Jonathan Meunier The_French_Spider 75 170  75.0 Switch 8 1 0 NA
Yaotzin Meza NA 69 145  74.0 Orthodox 21 11 0 NA
Guy Mezger NA 73 200  NA Orthodox 30 14 2 NA
Brandon Michaels NA 69 185  NA NA 1 4 0 NA
David Michaud BullDawg 69 155  72.0 Orthodox 8 2 0 NA
Chris Mickle NA 69 145  NA Orthodox 28 16 2 NA
Zachary Micklewright NA 72 155  74.0 Southpaw 11 3 0 NA
Kristof Midoux The_Hurricane 73 220  NA Orthodox 6 10 0 NA
Keith Mielke NA 68 185  NA NA 0 5 0 NA
Chris Mierzwiak NA 73 185  NA NA 3 1 0 NA
Gabriel Miglioli Biel 68 170  NA NA 9 8 0 NA
Bojan Mihajlovic NA 71 235  73.0 Orthodox 10 4 0 NA
Billy Miles The_Kid 70 170  NA Orthodox 2 2 0 NA
Pat Miletich The_Croatian_Sensation 70 170  NA Orthodox 29 7 2 NA
Curtis Millender Curtious 74 170  NA NA 8 2 0 NA
